呷	口 甲
呸	口 不 一
呹	口 失
呺	口 号
呻	口 申
呼	口 乎
命	人 一 叩
呾	口 旦
呿	口 去
咀	口 且
咂	口 匝
咃	口 他
咄	口 出
咅	立 口
咆	口 包
咇	口 必
咈	口 弗
咉	口 央
咊	口 禾
咋	口 乍
和	禾 口
咍	口 台
咎	夂 人 口
咐	口 付
咑	口 打
咒	口 口 几
咓	口 瓦
咔	口 卡
咕	口 古
咖	口 加
咗	口 左
咘	口 布
咚	口 冬
咞	口 开
咟	口 百
咠	口 耳
咡	口 耳
咢	口 口 亏
咣	口 光
咤	口 宅
咥	口 至
咦	口 夷
咧	口 列
咨	次 口
咩	口 羊
咪	口 米
咫	尺 只
咬	口 交
咭	口 吉
咮	口 朱
咯	口 各
咰	口 旬
咱	口 自
咲	口 关
咳	口 亥
咴	口 灰
咵	口 夸
咶	口 舌
咷	口 兆
咸	戊 一 口
咹	口 安
咺	口 亘
咻	口 休
呙	口 内
咽	口 因
咾	口 老
咿	口 伊
哀	衣 口
品	口 口 口
哂	口 西
哃	口 同
哄	口 共
哅	口 匈
哆	口 多
哇	口 土 土
哈	口 合
哉	土 戈 口
哊	口 有
哋	口 地
哌	口 厂 氏
响	口 向
哎	口 艾
哏	口 艮
哐	口 匡
哚	口 朵
哞	口 牟
哠	口 告
员	口 贝
哢	口 弄
哣	口 豆
哤	口 尨
哥	可 可
哦	口 我
哧	口 赤
哨	口 肖
哩	口 里
哪	口 那
哫	口 足
哬	口 何
哭	口 口 犬
哮	口 孝
哰	口 牢
哱	口 孛
哲	折 口
哳	口 折
哴	口 良
哵	口 別
哶	口 羊
哷	口 寽
哸	口 妥
哹	口 孚
哺	口 甫
哻	口 旱
哼	口 享
哽	口 更
哾	口 兑
哿	加 可
唀	口 秀
唁	口 言
唂	口 谷
唃	口 角
呗	口 贝
唅	口 含
唆	口 夋
唇	口 辰
唈	口 邑
唉	口 矣
唋	口 余
唌	口 延
唍	口 完
唎	口 利
唏	口 希
唐	广 聿 口
唑	口 坐
唒	口 酉
唔	口 吾
唕	口 早
哑	口 亚
唗	口 走
唘	石 又 口
唙	口 狄
唚	口 彐 冖 又
唞	口 抖
唣	口 皂
唥	口 冷
唦	口 沙
唧	口 即
唨	口 阻
唩	口 委
唪	口 奉
唫	口 金
唬	口 虎
唭	口 其
售	隹 口
唯	口 隹
唰	口 刷
唱	口 昌
唲	口 兒
唳	口 戻
唴	口 羌
唵	口 奄
唶	口 昔
唷	口 育
念	今 心
唹	口 於
唺	口 典
唼	口 妾
唽	口 析
唾	口 垂
唿	口 忽
啀	口 厓
啁	口 周
啂	口 乳
啃	口 肯
啄	口 豖
啅	口 卓
商	亠 丷 冏
啇	亠 丷 冂 古
啈	口 幸
啉	口 林
啊	口 阿
啋	口 采
啌	口 空
啍	口 享
啎	午 吾
问	门 口
啐	口 卒
啑	口 疌
啒	口 屈
启	户 口
啔	户 戈 口
啕	口 匋
啖	口 炎
啗	口 陷
啘	口 宛
啙	此 口 口
啚	口 亠 回
啛	口 妻
啜	口 叕
啝	口 和
哑	口 亚
启	户 口
啠	斤 斤 口
啡	口 非
唡	口 两
啣	口 卸
啤	口 卑
啥	口 舍
啦	口 拉
啨	口 青
啩	口 卦
啪	口 拍
啫	口 者
啱	口 岩
啲	口 的
啳	口 卷
啵	口 波
啶	口 定
啷	口 郎
啻	帝 口
啼	口 帝
啽	口 弇
啾	口 秋
啿	口 甚
喀	口 客
喁	口 禺
喂	口 畏
喃	口 南
善	羊 丷 一 口
喅	口 昱
哲	折 口
喇	口 剌
喈	口 皆
喉	口 侯
喊	口 咸
喋	口 世 木
喌	口 口 州
喍	口 柴
㖞	口 呙
喏	口 若
喐	口 郁
喑	口 音
喒	口 昝
喓	口 要
喔	口 屋
喕	口 面
喖	口 枯
喘	口 山 而
喙	口 彖
唤	口 奂
喛	口 爰
喜	士 口 丷 一 口
喝	口 曷
唧	口 即
喟	口 胃
喠	口 重
喢	口 臿
喣	呴 灬
喤	口 皇
喥	口 度
喦	品 山
喧	口 宣
喨	口 亮
喩	口 俞
喫	口 契
乔	夭 丿 丨
喭	口 彦
单	丷 甲 一
喯	口 奔
喰	口 食
喱	口 厘
哟	口 约 喲
喳	口 查
喴	口 威
喵	口 苗
营	艸 冖 吕
喹	口 奎
喻	口 俞
喼	口 急
喿	口 口 口 木
嗀	士 冖 一 口 殳
嗁	口 虒
嗃	口 高
嗄	口 夏
嗅	口 臭
呛	口 仓
啬	土 丷 回
嗈	口 邕
嗉	口 素
唝	口 贡
嗋	口 脅
嗌	口 益
嗍	口 朔
吗	口 马
嗏	口 茶
嗐	口 害
嗑	口 去 皿
嗒	口 荅
嗓	口 桑
嗔	口 真
嗕	口 辱
嗖	口 叟
嗗	口 骨
嗘	口 奚
嗙	口 旁
呜	口 乌
嗛	口 兼
嗜	口 老 日
嗝	口 鬲
嗞	口 兹
嗟	口 差
嗠	孚 各
嗡	口 翁
嗢	口 昷
嗣	口 冊 司
嗤	口 蚩
嗥	口 皋
嗦	口 索
嗨	口 海
唢	口 小 贝
嗪	口 秦
嗬	口 荷
嗮	口 晒
嗯	口 恩
嗱	口 拿
嗲	口 爹
嗵	口 通
哔	口 毕
嗷	口 敖
嗸	敖 口
嗺	口 崔
嗻	口 庶
嗼	口 莫
嗽	口 束 欠
嗾	口 族
嘀	口 啇
嘁	口 戚
嘂	口 口 丩 口 口
嘃	口 庸
嘅	口 既
叹	口 又
